"1" "Variable Name" "Range" "Score"
"x11" "Age" "<39.5" 0
"x12" "" "39.5~41.5" 2.45
"x13" "" "41.5~45.5" 3.11
"x14" "" "45.5~47.5" 4.13
"x15" "" "47.5~79.5" 4.8
"x16" "" ">=79.5" 7.5
"x31" "BMI" "<23.25" 0
"x32" "" "23.25~24.15" 0.42
"x33" "" "24.15~25.55" 1.87
"x35" "" "25.55~31.05" 1.9
"x36" "" "31.05~34.95" 2.37
"x37" "" ">=34.95" 6.16
"x41" "DBP" "<73" 0
"x42" "" "73~75" 0.12
"x43" "" "75~81" 0.14
"x44" "" "81~99" 0.78
"x47" "" ">=99" 1.2
"x51" "TCH、Chol、TC" "<6.3" 0
"x55" "" "6.3~7.2" 0.12
"x57" "" ">=7.2" 0.59
"x61" "TG" "<2.54" 0
"x62" "" "2.54~4.69" 1.6
"x63" "" "4.69~5.37" 2.71
"x64" "" "5.37~7.8" 5.32
"x67" "" ">=7.8" 5.38
"x71" "SBP" "<119" 0
"x72" "" "119~165" 0.17
"x77" "" ">=165" 2.59
"x101" "RDW-SD" "<39.05" 0.8
"x104" "" ">=39.05" 0
"x111" "RDW-CV" "<12.95" 5.85
"x112" "" "12.95~11.05" 2.23
"x113" "" ">=11.05" 0
"x121" "HGB" "<179.5" 0
"x124" "" ">=179.5" 2.23
"x141" "MCHC" "<337.5" 0
"x142" "" "337.5~342.5" 0.14
"x143" "" "342.5~351.5" 0.65
"x144" "" ">=351.5" 1.32
"x151" "RBC" "<5.71" 0
"x152" "" ">=5.71" 0.69
"x161" "WBC" "<3" 4.85
"x162" "" "3~6.29" 0
"x163" "" "6.29~7.24" 0.24
"x164" "" "7.24~7.7" 0.24
"x165" "" "7.7~10.19" 0.65
"x167" "" ">=10.19" 1.67
"x171" "NEUT%" "<56.85" 0
"x173" "" "56.85~69.35" 0.19
"x174" "" "69.35~77.65" 0.89
"x176" "" ">=77.65" 1.68
"x181" "LYMPH%" "<16.95" 1.99
"x183" "" "16.95~33.55" 0.25
"x187" "" ">=33.55" 0
"x191" "MONO%" "<3.05" 8.54
"x192" "" "3.05~3" 6.34
"x194" "" ">=3" 0
"x211" "BASO%" "<1.15" 0
"x212" "" ">=1.15" 1.8
"x221" "NEUT#" "<4.93" 0
"x225" "" ">=4.93" 0.58
"x231" "MONO#" "<0.85" 0
"x232" "" "0.85~0.45" 0.5
"x234" "" ">=0.45" 2.07
"x241" "EO#" "<0.85" 0
"x242" "" ">=0.85" 0.23
"x261" "PLT" "<131.5" 1.08
"x263" "" "131.5~205.5" 0.75
"x265" "" "205.5~342" 0
"x266" "" ">=342" 3.01
"x281" "MPV" "<13.65" 0
"x282" "" "13.65~13.15" 0.17
"x285" "" ">=13.15" 1.79
"x291" "P-LCR" "<35.55" 0
"x294" "" "35.55~33.85" 0.28
"x296" "" ">=33.85" 1.69
"x301" "PCT" "<0.16" 0.55
"x304" "" "0.16~0.08" 0
"x306" "" ">=0.08" 0.21
"x321" "PH" "<5.75" 2.17
"x322" "" "5.75~5.25" 2.1
"x323" "" "5.25~6.25" 1.13
"x324" "" ">=6.25" 0
"x331" "SG" "<1.02" 0
"x332" "" "1.02~1.03" 0.38
"x333" "" ">=1.03" 0.4
"x341" "LDL-C" "<1.5" 0.33
"x344" "" "1.5~3.44" 0
"x345" "" "3.44~4.64" 0.75
"x347" "" ">=4.64" 2.26
"x351" "HDL-C" "<0.73" 6.92
"x353" "" "0.73~1.46" 0.8
"x354" "" "1.46~2.62" 0
"x357" "" ">=2.62" 3.27
"x361" "ALT/GPT" "<59.5" 0
"x365" "" "59.5~84.5" 0.09
"x366" "" ">=84.5" 0.12
"x371" "AST/GOT" "<12.5" 1.42
"x372" "" "12.5~36.5" 0
"x374" "" ">=36.5" 1.99
"x381" "AST/ALT" "<0.65" 2.02
"x382" "" "0.65~0.71" 1.47
"x383" "" "0.71~0.83" 0.99
"x384" "" "0.83~1.03" 0.93
"x386" "" ">=1.03" 0
"x391" "BUN、UREAN" "<5.45" 0
"x392" "" "5.45~5.85" 0.24
"x393" "" "5.85~6.55" 0.84
"x394" "" ">=6.55" 1.37
"x401" "Cr、CRE" "<43.5" 4.36
"x403" "" "43.5~48.5" 4.31
"x404" "" "48.5~42.5" 2.95
"x405" "" ">=42.5" 0
"x411" "UA" "<136" 5.55
"x412" "" "136~304.5" 3.13
"x413" "" "304.5~317.5" 1.46
"x414" "" "317.5~520.5" 0
"x416" "" "520.5~539" 1.54
"x417" "" ">=539" 1.72
"x421" "AFP" "<15.3" 0
"x424" "" ">=15.3" 2.15
"x431" "CEA" "<1.22" 0
"x432" "" "1.22~2.18" 1.73
"x433" "" "2.18~5.05" 2.45
"x434" "" "5.05~6.95" 3.86
"x436" "" "6.95~9.21" 6.98
"x437" "" ">=9.21" 7.6
